Subject,Run,Factor 1,Factor 2
sub-010137,post-ses-02-run-02-acq-AP,0.6438727332113658,0.6649463361387296
sub-010137,post-ses-02-run-02-acq-PA,0.7893954986499564,0.4639273240032488
sub-010141,post-ses-02-run-01-acq-PA,0.7388154315146948,0.01411262021641603
sub-010141,post-ses-02-run-02-acq-AP,0.7091775666627843,0.0
sub-010141,post-ses-02-run-02-acq-PA,0.6511407005390857,0.029649587325694338
sub-010142,post-ses-02-run-01-acq-AP,0.5249306720093737,0.45289020128056584
sub-010142,post-ses-02-run-01-acq-PA,0.5414340144964156,0.4853255586719676
sub-010142,post-ses-02-run-02-acq-AP,0.3130436318811684,0.3584111768905368
sub-010142,post-ses-02-run-02-acq-PA,0.1695977113208445,0.196958279716168
sub-010143,post-ses-02-run-01-acq-AP,0.44967892767793766,0.6503402772914555
sub-010143,post-ses-02-run-01-acq-PA,0.4631206755984647,0.42543850818734164
sub-010143,post-ses-02-run-02-acq-AP,0.5489553219118128,0.3587864573313039
sub-010143,post-ses-02-run-02-acq-PA,0.5858361552121497,0.4105447212195132
sub-010144,post-ses-02-run-01-acq-AP,0.6466373459722262,0.8355353945000193
